N°,equipment,main_indicator,minimal_value,maximal_value,indicator_unit,unit,segment_1_threshold,segment_1_cost,segment_2_threshold,segment_2_cost,segment_3_threshold,segment_3_cost,segment_average_cost,working_flow_value,working_flow_unit,date
1,alternative_harrow,application_width,3,3,meter,hour_equipment,80,17,100,14.4,120,12.7,14.7,1.00,hectare_per_hour,01/01/2019
2,alternative_harrow,application_width,4,4,meter,hour_equipment,67,26.85,100,19.95,133,16.35,21.1,1.50,hectare_per_hour,01/01/2019
3,antidrift_panel,rows_count,1,1,unity,hour_equipment,20,8.2,40,4.7,60,3.5,5.5,1.00,hectare_per_hour,01/01/2019
4,antidrift_panel,rows_count,2,2,unity,hour_equipment,15,40.4,20,30.4,30,20.4,30.4,1.00,hectare_per_hour,01/01/2019
5,arboricultural_cultivator,,,,,hour_equipment,60,4.3,80,3.4,100,2.85,3.5,0.50,hectare_per_hour,01/01/2019
6,arboricultural_mounted_jet_sprayer,nominal_storable_net_volume,5,5,hectoliter,hour_equipment,200,4.15,300,2.95,400,2.35,3.2,0.50,hectare_per_hour,01/01/2019
7,arboricultural_mounted_jet_sprayer,nominal_storable_net_volume,10,10,hectoliter,hour_equipment,167,7.44,250,5.16,333,04.02,5.5,0.60,hectare_per_hour,01/01/2019
8,arboricultural_mounted_jet_sprayer,nominal_storable_net_volume,15,15,hectoliter,hour_equipment,286,5.81,429,4.13,571,3.29,4.4,0.70,hectare_per_hour,01/01/2019
9,arboricultural_platform,,,,,hour_equipment,100,32,250,17,400,13,20.7,,,01/01/2019
10,arboricultural_pneumatic_sprayer,nominal_storable_net_volume,20,20,hectoliter,hour_equipment,208,11.76,292,8.76,375,7.2,9.2,1.20,hectare_per_hour,01/01/2019
11,arboricultural_tractor,motor_power,56,65,french_horserpower,hour_equipment,300,12.8,500,10.8,700,10.2,11.3,,,01/01/2019
12,arboricultural_tractor,motor_power,66,75,french_horserpower,hour_equipment,300,14,500,11.9,700,11.3,12.4,,,01/01/2019
13,arboricultural_tractor,motor_power,76,85,french_horserpower,hour_equipment,300,15.3,500,13,700,12.3,13.5,,,01/01/2019
14,arboricultural_tractor,motor_power,86,95,french_horserpower,hour_equipment,300,16.2,500,13.9,700,13.1,14.4,,,01/01/2019
15,arboricultural_tractor,motor_power,96,105,french_horserpower,hour_equipment,300,17.8,500,15.2,700,14.4,15.8,,,01/01/2019
16,arboricultural_weeding_boom,,,,,hour_equipment,21,23.9,43,12.11,71,7.38,14.5,0.70,hectare_per_hour,01/01/2019
17,back_arboricultural_wood_rake,,,,,hour_equipment,5,91,10,46.8,15,32,56.6,2.00,hectare_per_hour,01/01/2019
18,baler_wrapper,nominal_storable_net_volume,1.36,1.36,cubic_meter,hour_equipment,63,176,88,136,113,112,141.3,40.00,unity_per_hour,01/01/2019
19,baler_wrapper,nominal_storable_net_volume,2.41,2.41,cubic_meter,hour_equipment,63,212,88,160,113,132,168.0,40.00,unity_per_hour,01/01/2019
20,beet_harvester,rows_count,6,6,unity,hour_equipment,94,59.28,188,33.16,250,26.64,39.7,0.80,hectare_per_hour,01/01/2019
21,beet_leaves_remover,rows_count,6,6,unity,hour_equipment,94,36.6,188,20.95,250,17.1,24.9,0.80,hectare_per_hour,01/01/2019
22,beet_picker,nominal_storable_net_mass,8,8,ton,hour_equipment,62,152.32,94,106.08,125,82.88,113.8,0.80,hectare_per_hour,01/01/2019
23,beet_picker,nominal_storable_net_mass,14,14,ton,hour_equipment,62,237.36,94,162.72,125,125.44,175.2,0.80,hectare_per_hour,01/01/2019
24,blade_intercep_tv,element_count,1,1,unity,hour_equipment,67,13.2,100,9.27,133,7.32,9.9,0.30,hectare_per_hour,01/01/2019
25,blade_intercep_tv,element_count,2,2,unity,hour_equipment,40,27.82,60,19.32,80,15.1,20.8,0.50,hectare_per_hour,01/01/2019
26,blade_intercep_vtv,rows_count,1,1,unity,hour_equipment,33,29.34,50,20.04,67,15.39,21.6,0.30,hectare_per_hour,01/01/2019
27,blade_intercep_vtv,rows_count,2,2,unity,hour_equipment,20,75.7,30,51.25,40,39.05,55.3,0.50,hectare_per_hour,01/01/2019
28,borehole,length,50,50,meter,hour_equipment,600,03.06,900,02.04,1200,1.53,2.2,,,01/01/2019
29,borehole,length,100,100,meter,hour_equipment,600,6.56,900,4.38,1200,3.28,4.7,,,01/01/2019
